Title,Year,Genre
The Shawshank Redemption,1994,Drama
The Godfather,1972,Crime,Drama
Pulp Fiction,1994,Crime,Drama
The Dark Knight,2008,Action,Crime,Drama
Fight Club,1999,Drama
Forrest Gump,1994,Drama,Romance
Inception,2010,Action,Adventure,Sci-Fi
Goodfellas,1990,Biography,Crime,Drama
The Matrix,1999,Action,Sci-Fi
Schindler's List,1993,Biography,Drama,History
The Silence of the Lambs,1991,Crime,Drama,Thriller
The Lord of the Rings: The Fellowship of the Ring,2001,Action,Adventure,Drama,Fantasy
The Departed,2006,Crime,Drama,Thriller
The Avengers,2012,Action,Adventure,Sci-Fi
Gladiator,2000,Action,Adventure,Drama
